Brand,Model,Variant,Year,Category,Fuel,Transmission,Seats,PricePerDay,SecurityDeposit,City,TrustScore,ImageVerification
"Maruti Suzuki","S-Presso","L",2020,"hatchback","diesel","manual",5,2350,3000,"Bengaluru",87,"fallback"
"Mahindra","XUV500","W6",2011,"suv","petrol","manual",7,2300,6000,"Hyderabad",87,"fallback"
"Hyundai","Aura","Asta",2023,"sedan","petrol","manual",5,2550,4000,"Chennai",87,"fallback"
"Maruti Suzuki","WagonR","V",2011,"hatchback","diesel","manual",5,1100,3000,"Pune",87,"fallback"
"BMW","X3","Luxury Line",2016,"luxury","petrol","automatic",5,4800,15000,"Kolkata",87,"fallback"
"Ford","Figo","Trend",2018,"sedan","petrol","manual",5,1600,4000,"Ahmedabad",87,"fallback"
"Mahindra","Thar","AX7",2023,"suv","petrol","manual",7,2700,6000,"Jaipur",81,"verified"
"Hyundai","i20","Era",2009,"hatchback","diesel","manual",5,1100,3000,"Goa",87,"fallback"
"Maruti Suzuki","Ertiga","Base",2021,"mpv","petrol","manual",7,2850,5000,"Chandigarh",87,"verified"
"Maruti Suzuki","Ignis","Z",2017,"hatchback","petrol","automatic",5,1800,3000,"Mumbai",87,"fallback"
"Maruti Suzuki","Ignis","ZX",2023,"hatchback","diesel","manual",5,1950,3000,"Delhi NCR",81,"fallback"
"Renault","Kiger","RXT",2022,"suv","diesel","manual",7,2850,6000,"Bengaluru",87,"fallback"
"Hyundai","Verna","SX(O)",2008,"sedan","petrol","manual",5,1600,4000,"Hyderabad",87,"verified"
"Kia","Carens","HTE",2023,"mpv","petrol","manual",7,2800,5000,"Chennai",87,"fallback"
"Ford","Aspire","Trend+",2019,"sedan","petrol","manual",5,1700,4000,"Pune",87,"fallback"
"Mahindra","XUV500","W10",2014,"suv","cng","manual",7,2300,6000,"Kolkata",81,"fallback"
"Maruti Suzuki","S-Presso","V",2019,"hatchback","petrol","manual",5,1400,3000,"Ahmedabad",87,"fallback"
"Ford","Figo","Titanium",2012,"sedan","petrol","manual",5,1600,4000,"Jaipur",87,"fallback"
"Maruti Suzuki","Celerio","L",2016,"hatchback","petrol","manual",5,1100,3000,"Goa",87,"fallback"
"Toyota","Fortuner","G",2023,"suv","diesel","manual",7,2300,6000,"Chandigarh",81,"verified"
"Maruti Suzuki","S-Presso","ZX",2020,"hatchback","petrol","manual",5,1150,3000,"Mumbai",87,"fallback"
"Maruti Suzuki","WagonR","L",2014,"hatchback","petrol","manual",5,1150,3000,"Delhi NCR",87,"fallback"
"Maruti Suzuki","Celerio","ZX",2019,"hatchback","diesel","manual",5,1600,3000,"Bengaluru",87,"fallback"
"Maruti Suzuki","Ignis","V",2022,"hatchback","petrol","manual",5,1250,3000,"Hyderabad",87,"fallback"
"Tata","Harrier","XT",2022,"suv","cng","manual",7,3050,6000,"Chennai",87,"verified"
"Maruti Suzuki","WagonR","ZX",2007,"hatchback","petrol","manual",5,1100,3000,"Pune",87,"fallback"
"Maruti Suzuki","Ignis","V",2017,"hatchback","petrol","manual",5,1550,3000,"Kolkata",87,"fallback"
"Maruti Suzuki","Ignis","V",2023,"hatchback","petrol","manual",5,2100,3000,"Ahmedabad",87,"fallback"
"Maruti Suzuki","Celerio","V",2015,"hatchback","petrol","manual",5,1450,3000,"Jaipur",87,"fallback"
"Mahindra","Thar","AX7",2019,"suv","petrol","manual",7,2500,6000,"Goa",87,"verified"
"Toyota","Etios","G+",2010,"sedan","hybrid","manual",5,1850,4000,"Chandigarh",87,"fallback"
"Honda","Brio","ZX",2019,"hatchback","petrol","manual",5,1100,3000,"Mumbai",87,"fallback"
"Maruti Suzuki","Baleno","Base",2019,"hatchback","diesel","manual",5,1750,3000,"Delhi NCR",87,"verified"
"Toyota","Fortuner","G+",2012,"suv","petrol","manual",7,2300,6000,"Bengaluru",87,"verified"
"Nissan","Terrano","XV Premium",2017,"suv","diesel","manual",7,2300,6000,"Hyderabad",87,"fallback"
"Maruti Suzuki","WagonR","Base",2015,"hatchback","diesel","manual",5,1100,3000,"Chennai",87,"fallback"
"Maruti Suzuki","Ertiga","ZX",2022,"mpv","petrol","automatic",7,3200,5000,"Pune",87,"verified"
"Maruti Suzuki","WagonR","L",2005,"hatchback","cng","automatic",5,1100,3000,"Kolkata",87,"fallback"
"MG","Astor","Sharp",2021,"suv","petrol","manual",7,2450,6000,"Ahmedabad",87,"fallback"
"Maruti Suzuki","Ignis","V",2020,"hatchback","petrol","automatic",5,1300,3000,"Jaipur",87,"fallback"
"Hyundai","Grand i10","Era",2020,"hatchback","petrol","manual",5,1200,3000,"Goa",87,"fallback"
"Maruti Suzuki","S-Presso","V",2021,"hatchback","diesel","automatic",5,3550,3000,"Chandigarh",87,"fallback"
"Volkswagen","Vento","Trendline",2012,"sedan","petrol","manual",5,1600,4000,"Mumbai",87,"fallback"
"Honda","WR-V","S",2020,"suv","cng","manual",7,2450,6000,"Delhi NCR",87,"fallback"
"Hyundai","i20","SX(O)",2019,"hatchback","petrol","manual",5,1200,3000,"Bengaluru",87,"fallback"
"Maruti Suzuki","WagonR","V",2015,"hatchback","diesel","manual",5,1100,3000,"Hyderabad",87,"fallback"
"Honda","City","S",2006,"sedan","diesel","manual",5,1600,4000,"Chennai",87,"verified"
"Hyundai","Grand i10","SX(O)",2022,"hatchback","petrol","manual",5,2650,3000,"Pune",87,"fallback"
"Honda","Jazz","E",2014,"sedan","petrol","manual",5,1600,4000,"Kolkata",87,"fallback"
"Toyota","Urban Cruiser","G+",2022,"suv","petrol","automatic",7,3650,6000,"Ahmedabad",87,"fallback"
"Ford","Endeavour","Ambiente",2017,"suv","diesel","manual",7,2300,6000,"Jaipur",87,"fallback"
"Maruti Suzuki","WagonR","Z",2009,"hatchback","diesel","manual",5,1250,3000,"Goa",81,"fallback"
"Ford","Endeavour","Trend+",2009,"suv","petrol","automatic",7,2300,6000,"Chandigarh",87,"fallback"
"Maruti Suzuki","Dzire","V",2019,"sedan","diesel","manual",5,1600,4000,"Mumbai",87,"fallback"
"Maruti Suzuki","Ertiga","ZX",2020,"mpv","diesel","manual",7,2600,5000,"Delhi NCR",87,"verified"
"Maruti Suzuki","Ertiga","ZX",2017,"mpv","cng","manual",7,2100,5000,"Bengaluru",87,"verified"
"Maruti Suzuki","WagonR","ZX",2023,"hatchback","diesel","manual",5,1400,3000,"Hyderabad",87,"fallback"
"Maruti Suzuki","Ignis","ZX",2022,"hatchback","cng","manual",5,2200,3000,"Chennai",87,"fallback"
"Tata","Nexon","XZA+",2018,"suv","diesel","manual",7,2600,6000,"Pune",87,"verified"
"Maruti Suzuki","Ignis","Base",2021,"hatchback","petrol","manual",5,2650,3000,"Kolkata",87,"fallback"
"Honda","Jazz","VX",2018,"sedan","petrol","manual",5,1700,4000,"Ahmedabad",81,"fallback"
"Hyundai","Aura","Sportz",2023,"sedan","petrol","manual",5,2200,4000,"Jaipur",87,"fallback"
"Toyota","Fortuner","G+",2014,"suv","diesel","manual",7,2300,6000,"Goa",87,"verified"
"Renault","Duster","RXL",2022,"suv","petrol","manual",7,2650,6000,"Chandigarh",87,"fallback"
"Maruti Suzuki","S-Presso","Z",2020,"hatchback","diesel","manual",5,1650,3000,"Mumbai",87,"fallback"
"Toyota","Fortuner","V",2012,"suv","petrol","manual",7,2300,6000,"Delhi NCR",87,"verified"
"Mahindra","Scorpio","W8",2005,"suv","cng","automatic",7,2500,6000,"Bengaluru",87,"verified"
"Tata","Tigor","XZA+",2020,"sedan","petrol","manual",5,1650,4000,"Hyderabad",87,"fallback"
"Honda","City","ZX",2005,"sedan","cng","manual",5,1600,4000,"Chennai",87,"verified"
"Hyundai","Verna","Magna",2013,"sedan","petrol","manual",5,1600,4000,"Pune",87,"verified"
"Tata","Tiago","XM",2023,"hatchback","petrol","manual",5,2000,3000,"Kolkata",87,"fallback"
"Maruti Suzuki","WagonR","L",2005,"hatchback","petrol","manual",5,1100,3000,"Ahmedabad",87,"fallback"
"Hyundai","Verna","Magna",2010,"sedan","petrol","manual",5,1600,4000,"Jaipur",87,"verified"
"Toyota","Urban Cruiser","G+",2021,"suv","petrol","manual",7,2900,6000,"Goa",87,"fallback"
"Hyundai","Creta","SX(O)",2020,"suv","petrol","manual",7,2300,6000,"Chandigarh",87,"verified"
"Maruti Suzuki","Swift","Base",2020,"sedan","petrol","manual",5,1600,4000,"Mumbai",87,"verified"
"Jaguar","F-Pace","Portfolio",2023,"luxury","diesel","automatic",5,6250,15000,"Delhi NCR",81,"fallback"
"Maruti Suzuki","Ertiga","ZX",2016,"mpv","diesel","manual",7,2100,5000,"Bengaluru",87,"verified"
"Maruti Suzuki","Celerio","L",2015,"hatchback","diesel","automatic",5,2000,3000,"Hyderabad",87,"fallback"
"Kia","Carens","HTX+",2023,"mpv","cng","manual",7,2950,5000,"Chennai",87,"fallback"
"Maruti Suzuki","Dzire","ZX",2011,"sedan","diesel","manual",5,1650,4000,"Pune",87,"fallback"
"Volkswagen","Vento","Highline",2022,"sedan","diesel","manual",5,2500,4000,"Kolkata",87,"fallback"
"Hyundai","Venue","Era",2019,"suv","petrol","automatic",7,3050,6000,"Ahmedabad",87,"fallback"
"Maruti Suzuki","Celerio","Base",2020,"hatchback","cng","manual",5,1650,3000,"Jaipur",87,"fallback"
"Maruti Suzuki","S-Presso","Z",2021,"hatchback","petrol","manual",5,1800,3000,"Goa",87,"fallback"
"Maruti Suzuki","Celerio","ZX",2016,"hatchback","diesel","automatic",5,2100,3000,"Chandigarh",87,"fallback"
"Hyundai","Aura","SX",2020,"sedan","petrol","manual",5,1600,4000,"Mumbai",87,"fallback"
"Mahindra","XUV500","W10",2018,"suv","cng","manual",7,2300,6000,"Delhi NCR",87,"fallback"
"Maruti Suzuki","Swift","L",2011,"sedan","petrol","automatic",5,1600,4000,"Bengaluru",87,"verified"
"Hyundai","Venue","Era",2021,"suv","diesel","manual",7,2850,6000,"Hyderabad",87,"fallback"
"Maruti Suzuki","Dzire","Base",2015,"sedan","diesel","manual",5,1950,4000,"Chennai",87,"fallback"
"Honda","WR-V","VX",2019,"suv","diesel","manual",7,2300,6000,"Pune",87,"fallback"
"Hyundai","Grand i10","Sportz",2022,"hatchback","petrol","manual",5,1900,3000,"Kolkata",87,"fallback"
"Maruti Suzuki","WagonR","V",2018,"hatchback","petrol","manual",5,1750,3000,"Ahmedabad",87,"fallback"
"Honda","Jazz","V",2016,"sedan","petrol","manual",5,1600,4000,"Jaipur",87,"fallback"
"Toyota","Etios","E",2010,"sedan","petrol","manual",5,1700,4000,"Goa",87,"fallback"
"Tata","Tiago","XM",2017,"hatchback","diesel","manual",5,1950,3000,"Chandigarh",87,"fallback"
"Maruti Suzuki","Ignis","ZX",2023,"hatchback","petrol","manual",5,2850,3000,"Mumbai",87,"fallback"
"Maruti Suzuki","Swift","L",2019,"sedan","cng","manual",5,1900,4000,"Delhi NCR",87,"verified"
"Mahindra","Scorpio","W6",2006,"suv","diesel","manual",7,2300,6000,"Bengaluru",87,"verified"
"Hyundai","i10","Base",2013,"hatchback","diesel","manual",5,1100,3000,"Hyderabad",87,"fallback"
"Tata","Tigor","XZA",2018,"sedan","petrol","manual",5,1600,4000,"Chennai",87,"fallback"
"Hyundai","Aura","Base",2021,"sedan","diesel","manual",5,2050,4000,"Pune",87,"fallback"
"Maruti Suzuki","Ertiga","L",2018,"mpv","petrol","manual",7,2250,5000,"Kolkata",87,"verified"
"Renault","Duster","RXZ",2014,"suv","diesel","manual",7,2300,6000,"Ahmedabad",87,"fallback"
"Ford","Figo","Titanium+",2014,"sedan","diesel","manual",5,1600,4000,"Jaipur",87,"fallback"
"Hyundai","i10","SX",2009,"hatchback","diesel","manual",5,1500,3000,"Goa",87,"fallback"
"Hyundai","i10","Asta",2010,"hatchback","petrol","manual",5,1200,3000,"Chandigarh",87,"fallback"
"Maruti Suzuki","Alto","L",2006,"hatchback","petrol","manual",5,1100,3000,"Mumbai",87,"fallback"
"Toyota","Etios","ZX",2018,"sedan","petrol","manual",5,2100,4000,"Delhi NCR",87,"fallback"
"Maruti Suzuki","WagonR","V",2006,"hatchback","diesel","manual",5,1100,3000,"Bengaluru",87,"fallback"
"Ford","Figo","Trend+",2013,"sedan","petrol","manual",5,1600,4000,"Hyderabad",87,"fallback"
"Maruti Suzuki","WagonR","Base",2013,"hatchback","diesel","manual",5,1450,3000,"Chennai",87,"fallback"
"Maruti Suzuki","Baleno","Z",2017,"hatchback","diesel","manual",5,1100,3000,"Pune",87,"verified"
"Toyota","Urban Cruiser","V",2021,"suv","petrol","manual",7,2550,6000,"Kolkata",87,"fallback"
"Hyundai","Creta","Asta",2021,"suv","petrol","manual",7,2550,6000,"Ahmedabad",87,"verified"
"Maruti Suzuki","S-Presso","L",2020,"hatchback","petrol","manual",5,1800,3000,"Jaipur",87,"fallback"
"Honda","WR-V","E",2020,"suv","petrol","manual",7,2450,6000,"Goa",87,"fallback"
"Maruti Suzuki","Swift","Z",2008,"sedan","petrol","automatic",5,1750,4000,"Chandigarh",87,"verified"
"Maruti Suzuki","Ertiga","Z",2018,"mpv","diesel","manual",7,2100,5000,"Mumbai",87,"verified"
"Toyota","Fortuner","V",2013,"suv","diesel","manual",7,2300,6000,"Delhi NCR",87,"verified"
"Maruti Suzuki","Ignis","Z",2021,"hatchback","diesel","manual",5,1800,3000,"Bengaluru",87,"fallback"
"Hyundai","Venue","Sportz",2023,"suv","petrol","manual",7,2850,6000,"Hyderabad",87,"fallback"
"Maruti Suzuki","Swift","Base",2011,"sedan","diesel","manual",5,1600,4000,"Chennai",81,"verified"
"Toyota","Innova","G+",2005,"mpv","cng","manual",7,2100,5000,"Pune",87,"verified"
"Tata","Harrier","XE",2019,"suv","cng","manual",7,2300,6000,"Kolkata",87,"verified"
"Maruti Suzuki","S-Presso","L",2019,"hatchback","diesel","manual",5,1650,3000,"Ahmedabad",87,"fallback"
"Maruti Suzuki","Dzire","V",2015,"sedan","diesel","manual",5,1750,4000,"Jaipur",87,"fallback"
"Maruti Suzuki","WagonR","Z",2017,"hatchback","diesel","automatic",5,2150,3000,"Goa",87,"fallback"
"Maruti Suzuki","S-Presso","Base",2023,"hatchback","petrol","manual",5,1800,3000,"Chandigarh",87,"fallback"
"Ford","EcoSport","Sports",2015,"suv","petrol","manual",7,2300,6000,"Mumbai",87,"fallback"
"Honda","City","V",2005,"sedan","petrol","manual",5,1600,4000,"Delhi NCR",87,"verified"
"Ford","Endeavour","Titanium+",2014,"suv","diesel","manual",7,2300,6000,"Bengaluru",87,"fallback"
"Hyundai","i10","Asta",2013,"hatchback","diesel","manual",5,1100,3000,"Hyderabad",87,"fallback"
"Hyundai","i10","Sportz",2008,"hatchback","petrol","automatic",5,1350,3000,"Chennai",87,"fallback"
"Tata","Tigor","XM",2021,"sedan","cng","automatic",5,1900,4000,"Pune",87,"fallback"
"Maruti Suzuki","Ignis","Base",2023,"hatchback","petrol","manual",5,1650,3000,"Kolkata",87,"fallback"
"Mahindra","Scorpio","W4",2017,"suv","petrol","manual",7,2300,6000,"Ahmedabad",87,"verified"
"Maruti Suzuki","Dzire","Z",2021,"sedan","petrol","manual",5,3000,4000,"Jaipur",87,"fallback"
"Hyundai","Venue","Sportz",2023,"suv","diesel","manual",7,2400,6000,"Goa",87,"fallback"
"Volkswagen","Taigun","Highline",2023,"suv","cng","automatic",7,3350,6000,"Chandigarh",87,"fallback"
"Maruti Suzuki","S-Presso","ZX",2020,"hatchback","diesel","manual",5,1200,3000,"Mumbai",87,"fallback"
"Hyundai","Grand i10","SX",2019,"hatchback","petrol","manual",5,1700,3000,"Delhi NCR",87,"fallback"
"Maruti Suzuki","Swift","L",2022,"sedan","petrol","manual",5,1900,4000,"Bengaluru",87,"verified"
"Hyundai","Venue","Magna",2021,"suv","petrol","manual",7,2350,6000,"Hyderabad",87,"fallback"
"Maruti Suzuki","Baleno","ZX",2016,"hatchback","petrol","manual",5,1400,3000,"Chennai",87,"verified"
"Hyundai","Verna","Asta",2021,"sedan","petrol","automatic",5,3050,4000,"Pune",87,"verified"
"Mahindra","TUV300","AX5",2018,"suv","petrol","automatic",7,2850,6000,"Kolkata",87,"fallback"
"Hyundai","Grand i10","Era",2019,"hatchback","petrol","automatic",5,1950,3000,"Ahmedabad",87,"fallback"
"Maruti Suzuki","Celerio","ZX",2020,"hatchback","cng","automatic",5,2150,3000,"Jaipur",87,"fallback"
"Maruti Suzuki","Baleno","ZX",2020,"hatchback","diesel","manual",5,2000,3000,"Goa",87,"verified"
"Jaguar","F-Pace","Pure",2017,"luxury","cng","manual",5,4800,15000,"Chandigarh",87,"fallback"
"Hyundai","Grand i10","Base",2013,"hatchback","petrol","manual",5,1100,3000,"Mumbai",87,"fallback"
"Maruti Suzuki","Baleno","Base",2017,"hatchback","petrol","manual",5,1150,3000,"Delhi NCR",87,"verified"
"Nissan","Terrano","XV Premium (O)",2015,"suv","cng","manual",7,2300,6000,"Bengaluru",87,"fallback"
"Tata","Harrier","XM",2020,"suv","diesel","manual",7,2750,6000,"Hyderabad",87,"verified"
"Maruti Suzuki","Alto","V",2010,"hatchback","diesel","manual",5,1100,3000,"Chennai",87,"fallback"
"Maruti Suzuki","Baleno","Base",2018,"hatchback","petrol","manual",5,1100,3000,"Pune",81,"verified"
"Maruti Suzuki","Alto","L",2005,"hatchback","diesel","manual",5,1100,3000,"Kolkata",87,"fallback"
"Hyundai","Aura","SX",2023,"sedan","diesel","manual",5,1700,4000,"Ahmedabad",87,"fallback"
"Mahindra","Scorpio","AX5",2012,"suv","petrol","manual",7,2300,6000,"Jaipur",87,"verified"
"Maruti Suzuki","Ignis","Base",2019,"hatchback","petrol","manual",5,1300,3000,"Goa",87,"fallback"
"Honda","Amaze","VX",2015,"sedan","petrol","manual",5,1750,4000,"Chandigarh",87,"fallback"
"Ford","Aspire","Trend",2018,"sedan","petrol","manual",5,1600,4000,"Mumbai",81,"fallback"
"Ford","Aspire","Titanium+",2017,"sedan","petrol","manual",5,1600,4000,"Delhi NCR",87,"fallback"
"Maruti Suzuki","Alto","V",2010,"hatchback","petrol","manual",5,1100,3000,"Bengaluru",87,"fallback"
"Honda","City","S",2005,"sedan","hybrid","manual",5,1600,4000,"Hyderabad",87,"verified"
"Maruti Suzuki","Dzire","ZX",2021,"sedan","petrol","automatic",5,2450,4000,"Chennai",87,"fallback"
"Ford","Figo","Sports",2013,"sedan","petrol","manual",5,1600,4000,"Pune",87,"fallback"
"Maruti Suzuki","Ertiga","L",2019,"mpv","petrol","manual",7,2100,5000,"Kolkata",81,"verified"
"Honda","WR-V","S",2022,"suv","diesel","manual",7,2900,6000,"Ahmedabad",87,"fallback"
"Hyundai","i20","Base",2013,"hatchback","electric","manual",5,1200,3000,"Jaipur",87,"fallback"
"Hyundai","Grand i10","SX(O)",2014,"hatchback","diesel","manual",5,1700,3000,"Goa",87,"fallback"
"Mahindra","TUV300","AX7",2019,"suv","diesel","automatic",7,2350,6000,"Chandigarh",87,"fallback"
"Maruti Suzuki","Ignis","ZX",2019,"hatchback","diesel","manual",5,2000,3000,"Mumbai",87,"fallback"
"Maruti Suzuki","Ignis","V",2021,"hatchback","petrol","manual",5,1450,3000,"Delhi NCR",87,"fallback"
"Ford","Aspire","Ambiente",2016,"sedan","petrol","manual",5,1600,4000,"Bengaluru",87,"fallback"
"Toyota","Glanza","E",2022,"hatchback","diesel","manual",5,2150,3000,"Hyderabad",87,"fallback"
"Honda","Amaze","ZX",2022,"sedan","petrol","automatic",5,2750,4000,"Chennai",87,"fallback"
"BMW","5 Series","Sport",2005,"luxury","petrol","manual",5,4800,15000,"Pune",87,"fallback"
"Maruti Suzuki","WagonR","Z",2007,"hatchback","cng","manual",5,1100,3000,"Kolkata",87,"fallback"
"Ford","Figo","Titanium+",2014,"sedan","petrol","manual",5,1600,4000,"Ahmedabad",87,"fallback"
"Nissan","Sunny","XE",2016,"sedan","cng","manual",5,1600,4000,"Jaipur",87,"fallback"
"Maruti Suzuki","Celerio","Z",2020,"hatchback","petrol","manual",5,1950,3000,"Goa",87,"fallback"
"Maruti Suzuki","Swift","V",2019,"sedan","diesel","manual",5,1700,4000,"Chandigarh",81,"verified"
"Chevrolet","Beat","LTZ",2017,"hatchback","diesel","automatic",5,1450,3000,"Mumbai",81,"fallback"
"Tata","Altroz","XT",2022,"hatchback","cng","automatic",5,1450,3000,"Delhi NCR",87,"fallback"
"Maruti Suzuki","S-Presso","Z",2019,"hatchback","cng","manual",5,1100,3000,"Bengaluru",81,"fallback"
"Honda","Brio","VX",2019,"hatchback","petrol","manual",5,1100,3000,"Hyderabad",87,"fallback"
"Maruti Suzuki","Baleno","L",2017,"hatchback","cng","manual",5,1350,3000,"Chennai",87,"verified"
"Jaguar","XE","Prestige",2016,"luxury","petrol","manual",5,4800,15000,"Pune",87,"fallback"
"Honda","WR-V","S",2021,"suv","diesel","automatic",7,2550,6000,"Kolkata",81,"fallback"
"Tata","Tiago","XE",2021,"hatchback","diesel","manual",5,2300,3000,"Ahmedabad",87,"fallback"
"Mahindra","TUV300","W8(O)",2017,"suv","petrol","manual",7,2300,6000,"Jaipur",87,"fallback"
"Honda","City","VX",2021,"sedan","petrol","manual",5,1600,4000,"Goa",81,"verified"
"Toyota","Innova","V",2020,"mpv","petrol","automatic",7,2200,5000,"Chandigarh",81,"verified"
"Skoda","Kushaq","Ambition",2022,"suv","diesel","manual",7,3250,6000,"Mumbai",87,"fallback"
"Mahindra","Thar","AX3",2010,"suv","electric","automatic",7,2300,6000,"Delhi NCR",87,"verified"
"Skoda","Octavia","Active",2005,"sedan","diesel","manual",5,1600,4000,"Bengaluru",87,"fallback"
"Tata","Nexon","XZA+",2020,"suv","diesel","manual",7,2450,6000,"Hyderabad",87,"verified"
"Hyundai","Venue","Magna",2023,"suv","cng","manual",7,2300,6000,"Chennai",87,"fallback"
"Honda","City","S",2012,"sedan","petrol","manual",5,1600,4000,"Pune",87,"verified"
"Maruti Suzuki","Dzire","V",2013,"sedan","diesel","manual",5,1600,4000,"Kolkata",87,"fallback"
"Hyundai","i10","Magna",2009,"hatchback","cng","manual",5,1100,3000,"Ahmedabad",87,"fallback"
"Renault","Duster","RXL",2015,"suv","petrol","manual",7,2300,6000,"Jaipur",87,"fallback"
"Maruti Suzuki","Baleno","Z",2019,"hatchback","petrol","automatic",5,1850,3000,"Goa",87,"verified"
"Toyota","Etios","E",2018,"sedan","petrol","manual",5,2050,4000,"Chandigarh",87,"fallback"
"Hyundai","Venue","Sportz",2022,"suv","petrol","manual",7,2800,6000,"Mumbai",87,"fallback"
"Maruti Suzuki","Ignis","Base",2017,"hatchback","diesel","manual",5,1100,3000,"Delhi NCR",87,"fallback"
"Maruti Suzuki","Dzire","Z",2011,"sedan","petrol","manual",5,1600,4000,"Bengaluru",81,"fallback"
"Ford","Figo","Titanium",2014,"sedan","diesel","manual",5,1600,4000,"Hyderabad",81,"fallback"
"Kia","Sonet","HTK+",2021,"suv","cng","automatic",7,3650,6000,"Chennai",87,"fallback"
"Toyota","Innova","ZX",2023,"mpv","petrol","manual",7,2650,5000,"Pune",87,"verified"
"Toyota","Glanza","G",2020,"hatchback","petrol","manual",5,1400,3000,"Kolkata",87,"fallback"
"Honda","Brio","S",2014,"hatchback","petrol","automatic",5,1800,3000,"Ahmedabad",87,"fallback"
"Toyota","Fortuner","E",2018,"suv","electric","manual",7,2800,6000,"Jaipur",87,"verified"
"Hyundai","i10","SX",2013,"hatchback","petrol","manual",5,1100,3000,"Goa",87,"fallback"
"Maruti Suzuki","S-Presso","L",2020,"hatchback","electric","manual",5,1550,3000,"Chandigarh",87,"fallback"
"Maruti Suzuki","S-Presso","Base",2019,"hatchback","cng","automatic",5,1850,3000,"Mumbai",81,"fallback"
"Honda","Brio","V",2013,"hatchback","diesel","manual",5,1250,3000,"Delhi NCR",87,"fallback"
"Honda","Jazz","V",2015,"sedan","petrol","manual",5,1600,4000,"Bengaluru",87,"fallback"
"Mahindra","Thar","W8",2011,"suv","petrol","manual",7,2300,6000,"Hyderabad",87,"verified"
"Mahindra","Thar","W8",2016,"suv","petrol","automatic",7,2850,6000,"Chennai",87,"verified"
"Hyundai","i10","SX(O)",2012,"hatchback","petrol","manual",5,1100,3000,"Pune",87,"fallback"
"Maruti Suzuki","Swift","L",2017,"sedan","petrol","automatic",5,1600,4000,"Kolkata",87,"verified"
"Maruti Suzuki","Baleno","Base",2021,"hatchback","petrol","manual",5,1800,3000,"Ahmedabad",87,"verified"
"MG","Astor","Savvy",2021,"suv","diesel","manual",7,3650,6000,"Jaipur",87,"fallback"
"Tata","Altroz","XZ",2022,"hatchback","petrol","manual",5,1350,3000,"Goa",87,"fallback"
"Honda","Amaze","VX",2013,"sedan","petrol","manual",5,1600,4000,"Chandigarh",87,"fallback"
"Maruti Suzuki","Dzire","V",2017,"sedan","petrol","manual",5,1600,4000,"Mumbai",87,"fallback"
"Nissan","Sunny","XV Premium",2020,"sedan","petrol","manual",5,2100,4000,"Delhi NCR",87,"fallback"
"Maruti Suzuki","Swift","V",2014,"sedan","petrol","automatic",5,1600,4000,"Bengaluru",87,"verified"
"Maruti Suzuki","Swift","L",2012,"sedan","cng","manual",5,1600,4000,"Hyderabad",87,"verified"
"Honda","City","E",2023,"sedan","diesel","automatic",5,3000,4000,"Chennai",87,"verified"
"Hyundai","i10","Sportz",2010,"hatchback","petrol","manual",5,1100,3000,"Pune",81,"fallback"
"Honda","City","S",2020,"sedan","diesel","manual",5,2250,4000,"Kolkata",87,"verified"
"Hyundai","i10","SX",2013,"hatchback","diesel","manual",5,1100,3000,"Ahmedabad",87,"fallback"
"Hyundai","Creta","Era",2021,"suv","cng","automatic",7,2550,6000,"Jaipur",87,"verified"
"Maruti Suzuki","Ertiga","Z",2015,"mpv","petrol","automatic",7,2300,5000,"Goa",87,"verified"
"Hyundai","Aura","Magna",2020,"sedan","petrol","manual",5,2450,4000,"Chandigarh",87,"fallback"
"Maruti Suzuki","Celerio","ZX",2017,"hatchback","diesel","manual",5,1350,3000,"Mumbai",87,"fallback"
"Maruti Suzuki","Ignis","Base",2022,"hatchback","diesel","automatic",5,3050,3000,"Delhi NCR",87,"fallback"
"Hyundai","Venue","Era",2021,"suv","petrol","manual",7,3600,6000,"Bengaluru",87,"fallback"
"Hyundai","Grand i10","Magna",2023,"hatchback","diesel","manual",5,1600,3000,"Hyderabad",87,"fallback"
"Nissan","Micra","XV Premium",2015,"hatchback","petrol","manual",5,1100,3000,"Chennai",87,"fallback"
